EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,cadence [min],Investigation IDs
202059291,90.53921,23.9298,9.0,30,GO0003_LC|GO0026_LC|GO0050_LC
202059336,94.37084,20.80744,8.9,30,GO0003_LC|GO0026_LC|GO0050_LC
202059333,94.0,23.78322,9.1,30,GO0003_LC|GO0016_LC|GO0049_LC|GO0100_LC|GO0101_LC|GO0109_LC|GO0114_LC
202059421,103.18778,24.968429999999998,9.2,30,GO0003_LC|GO0097_LC|GO0111_LC
202059299,91.1417,22.12879,11.3,30,GO0003_LC|GO0050_LC
202059310,92.185,17.401670000000003,9.0,30,GO0003_LC
202059312,92.23268,22.1478,10.3,30,GO0003_LC|GO0050_LC|GO0100_LC
202059318,92.43428,16.493879999999997,8.7,30,GO0003_LC|GO0111_LC
202059326,93.37262,19.68819,9.8,30,GO0003_LC|GO0111_LC
202059327,93.38316,18.062379999999997,10.6,30,GO0003_LC|GO0111_LC
202059330,93.74127,16.81958,8.6,30,GO0003_LC|GO0050_LC
202059332,93.82353,16.86158,10.2,30,GO0003_LC|GO0111_LC
202059339,94.67083000000001,21.83222,9.9,30,GO0003_LC
202059343,94.94113,20.416,9.3,30,GO0003_LC|GO0111_LC
202059346,95.04333000000001,16.2075,10.7,30,GO0003_LC
202059347,95.12625,25.089170000000003,11.0,30,GO0003_LC
202059348,95.16584,18.535629999999998,9.3,30,GO0003_LC|GO0050_LC
202059350,95.31393,24.58059,10.6,30,GO0003_LC|GO0100_LC
202059351,95.41208,25.00694,9.0,30,GO0003_LC
202059352,95.44570999999999,23.916120000000003,10.9,30,GO0003_LC|GO0111_LC
202059355,95.59104,25.2246,9.7,30,GO0003_LC|GO0050_LC
202059359,96.00889000000001,20.27722,9.3,30,GO0003_LC|GO0111_LC
202059360,96.23357,14.406889999999999,9.0,30,GO0003_LC|GO0050_LC
202059364,96.46176,14.99017,10.1,30,GO0003_LC|GO0111_LC
202059367,97.06792,16.671110000000002,11.1,30,GO0003_LC
202059373,97.94185,21.40709,10.1,30,GO0003_LC|GO0111_LC
202059377,99.18429,21.65157,8.7,30,GO0003_LC|GO0050_LC
202059382,99.52964,19.87738,8.9,30,GO0003_LC|GO0111_LC
202059388,100.11238,25.07739,9.2,30,GO0003_LC|GO0050_LC|GO0111_LC
202059391,100.55509,28.772009999999998,9.3,30,GO0003_LC|GO0111_LC
202059392,100.80493,23.96219,11.1,30,GO0003_LC|GO0111_LC
202059393,100.87594,27.904609999999998,10.4,30,GO0003_LC|GO0111_LC
202059397,101.11986,17.20682,10.0,30,GO0003_LC|GO0111_LC
202059403,101.53416999999999,16.59861,11.0,30,GO0003_LC
202059406,101.81356,24.8365,9.6,30,GO0003_LC|GO0017_LC|GO0049_LC
202059409,101.95208000000001,16.13278,10.1,30,GO0003_LC
202059410,102.25291999999999,17.39111,11.0,30,GO0003_LC
202059414,102.59541999999999,17.50972,10.8,30,GO0003_LC
202059415,102.59042,15.549439999999999,10.2,30,GO0003_LC
202059416,102.71083,16.23806,9.7,30,GO0003_LC
202059418,102.93141,25.04813,9.0,30,GO0003_LC|GO0111_LC
202059422,103.3651,16.105529999999998,9.4,30,GO0003_LC|GO0111_LC
202059428,104.125,19.67,9.6,30,GO0003_LC
202059430,104.41518,19.58449,9.6,30,GO0003_LC|GO0050_LC
202059432,104.60126,24.72276,9.2,30,GO0003_LC|GO0050_LC|GO0100_LC
202059433,104.7075,18.78833,9.8,30,GO0003_LC
202059434,104.79458000000001,26.28472,10.4,30,GO0003_LC
202059435,104.79375,18.72028,9.0,30,GO0003_LC
