# Summary of K2 Program GO19053

Title: Multi-Observatory Monitoring of K2 Supernovae

PI: Foley, Ryan (UCSC)
CoIs: Coulter, Drout, Fox, Jha, Kilpatrick, Piro, Rest, Riess, Scolnic, Shappee



# Targets requested by this program that have been observed (4238)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
200262487,,,,GO19053_LC|GO19059_LC|GO19060_LC|LC_CUSTOM_LARGE_GALAXIES
206295996,345.19537,-8.30228,16.90000,GO19053_LC|GO19059_LC
206296122,345.21844,-8.30064,18.20000,GO19053_LC|GO19059_LC
206303598,345.17163,-8.18587,18.50000,GO19053_LC|GO19059_LC
206304577,345.13240,-8.17066,18.20000,GO19053_LC|GO19059_LC
206350659,344.70300,-7.43729,17.35000,GO19053_LC|GO19059_LC
206353144,344.71957,-7.39564,16.24000,GO19053_LC|GO19059_LC
206399755,340.99670,-6.63600,16.44000,GO19053_LC|GO19059_LC
206407771,340.92154,-6.50526,15.70000,GO19053_LC|GO19059_LC
206410886,343.93524,-6.45331,15.06000,GO19053_LC|GO19059_LC
206419348,340.88670,-6.31081,17.21000,GO19053_LC|GO19059_LC
206424102,341.34970,-6.23184,16.85000,GO19053_LC|GO19059_LC
206431543,340.35226,-6.10791,16.31000,GO19053_LC|GO19059_LC
206432842,340.42233,-6.08700,17.14000,GO19053_LC|GO19059_LC
206432874,340.17737,-6.08648,15.96000,GO19053_LC|GO19059_LC
206436287,340.40973,-6.02972,17.70000,GO19053_LC|GO19059_LC
206448300,343.67575,-5.83455,16.88000,GO19053_LC|GO19059_LC
206451415,341.46967,-5.78253,16.87000,GO19053_LC|GO19059_LC
206452242,340.83862,-5.76864,17.81000,GO19053_LC|GO19059_LC
206452526,341.10043,-5.76389,16.85000,GO19053_LC|GO19059_LC
206456980,341.42126,-5.68704,16.16000,GO19053_LC|GO19059_LC
206465535,340.92560,-5.53824,16.89000,GO19053_LC|GO19059_LC
206475742,340.65150,-5.35210,17.41000,GO19053_LC|GO19059_LC
206476023,341.38700,-5.34689,16.74000,GO19053_LC|GO19059_LC
206479329,341.65955,-5.28477,16.88000,GO19053_LC|GO19059_LC
206481819,340.79456,-5.23843,15.52000,GO19053_LC|GO19059_LC
206483673,340.84396,-5.20354,16.93000,GO19053_LC|GO19059_LC
206492519,340.13530,-5.02761,17.84000,GO19053_LC|GO19059_LC
206494937,341.34775,-4.98034,16.53000,GO19053_LC|GO19059_LC
206495042,339.65143,-4.97808,17.23000,GO19053_LC|GO19059_LC
206505695,341.47020,-4.76283,17.80000,GO19053_LC|GO19059_LC
206505796,339.78680,-4.76097,14.97000,GO19053_LC|GO19059_LC|GO19060_LC
206506184,341.55005,-4.75295,16.93000,GO19053_LC|GO19059_LC
206508959,341.14273,-4.69644,16.91000,GO19053_LC|GO19059_LC
206536053,341.21265,-4.11749,17.59000,GO19053_LC|GO19059_LC
206539797,341.46893,-4.03191,15.10000,GO19053_LC|GO19059_LC
206554746,341.11908,-3.68439,17.18000,GO19053_LC|GO19059_LC
245926318,348.15863,-11.89638,14.72000,GO19053_LC|GO19059_LC|GO19067_LC
245927226,348.26602,-11.85427,16.29000,GO19053_LC|GO19059_LC|GO19067_LC
245932867,347.63568,-11.57513,17.14000,GO19053_LC|GO19059_LC
245937643,348.40637,-11.33868,17.54000,GO19053_LC|GO19059_LC
245938745,347.69510,-11.28431,18.00000,GO19053_LC|GO19059_LC
245939591,348.34537,-11.24321,17.77000,GO19053_LC|GO19059_LC
