EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200200367, , , , GO16064|GO16069|M67
200200368, , , , GO16064|GO16069|M67
200200369, , , , GO16064|GO16069|M67
200200370, , , , GO16064|GO16069|M67
200200371, , , , GO16064|GO16069|M67
200200372, , , , GO16064|GO16069|M67
200200373, , , , GO16064|GO16069|M67
200200374, , , , GO16064|GO16069|M67
200200375, , , , GO16064|GO16069|M67
200200376, , , , GO16064|GO16069|M67
200200377, , , , GO16064|GO16069|M67
200200378, , , , GO16064|GO16069|M67
200200379, , , , GO16064|GO16069|M67
200200380, , , , GO16064|GO16069|M67
200200381, , , , GO16064|GO16069|M67
200200382, , , , GO16064|GO16069|M67
200200383, , , , GO16064|GO16069|M67
200200384, , , , GO16064|GO16069|M67
200200385, , , , GO16064|GO16069|M67
200200386, , , , GO16064|GO16069|M67
200200387, , , , GO16064|GO16069|M67
200200388, , , , GO16064|GO16069|M67
200200389, , , , GO16064|GO16069|M67
200200390, , , , GO16064|GO16069|M67
200200391, , , , GO16064|GO16069|M67
200200392, , , , GO16064|GO16069|M67
200200393, , , , GO16064|GO16069|M67
200200394, , , , GO16064|GO16069|M67
200200395, , , , GO16064|GO16069|M67
200200396, , , , GO16064|GO16069|M67
200200397, , , , GO16064|GO16069|M67
200200398, , , , GO16064|GO16069|M67
200200399, , , , GO16064|GO16069|M67
200200400, , , , GO16064|GO16069|M67
200200401, , , , GO16064|GO16069|M67
200200402, , , , GO16064|GO16069|M67
200200403, , , , GO16064|GO16069|M67
200200404, , , , GO16064|GO16069|M67
200200405, , , , GO16064|GO16069|M67
200200406, , , , GO16064|GO16069|M67
200200407, , , , GO16064|GO16069|M67
200200408, , , , GO16064|GO16069|M67
200200409, , , , GO16064|GO16069|M67
200200410, , , , GO16064|GO16069|M67
200200411, , , , GO16064|GO16069|M67
200200412, , , , GO16064|GO16069|M67
200200413, , , , GO16064|GO16069|M67
200200414, , , , GO16064|GO16069|M67
200200415, , , , GO16064|GO16069|M67
200200416, , , , GO16064|GO16069|M67
200200417, , , , GO16064|GO16069|M67
200200418, , , , GO16064|GO16069|M67
200200419, , , , GO16064|GO16069|M67
200200420, , , , GO16064|GO16069|M67
200200421, , , , GO16064|GO16069|M67
