EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200004468, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004469, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004470, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004471, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004472, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004473, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004474, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004475, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004476, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004477, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004478, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004479, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004480, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004481, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004482, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004483, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004484, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004485, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004486, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004487, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004488, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004489, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004490, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004491, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004492, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004493, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004494, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004495, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004496, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004497, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004498, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004499, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004500, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004501, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004502, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004503, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004504, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004505, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004506, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004507, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004508, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004509, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004510, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004511, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004512, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004513, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004514, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004515, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004516, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004517, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004518, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004519, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004520, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004521, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004522, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004523, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004524, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004525, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004526, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004527, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004528, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004529, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004530, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004531, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004532, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004533, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004534, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004535, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004536, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004537, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004538, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004539, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004540, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004541, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004542, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004543, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004544, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004545, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004546, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004547, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004548, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004549, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004550, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004551, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004552, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004553, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004554, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004555, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004556, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004557, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004558, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004559, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004560, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004561, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004562, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004563, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004564, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004565, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004566, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004567, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004568, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004569, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004570, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004571, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004572, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004573, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004574, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004575, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004576, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004577, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004578, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004579, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004580, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004581, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004582, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004583, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004584, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004585, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004586, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004587, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004588, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004589, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004590, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004591, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004592, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004593, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004594, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004595, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004596, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004597, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004598, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004599, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004600, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004601, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004602, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004603, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004604, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004605, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004606, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004607, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004608, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004609, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004610, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004611, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004612, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004613, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004614, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004615, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004616, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004617, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004618, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004619, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004620, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004621, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004622, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004623, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004624, , , , GO3057_LC|GO3060_LC|GO3115_LC
200004625, , , , GO3057_LC|GO3060_LC|GO3115_LC
