# Summary of K2 Program GO17025

Title: Activity And Planets At The Bottom Of The Main Sequence

PI: Muirhead, Philip (Boston University)
CoIs: Julie N. Skinner (Boston Univ.), Sheila Sagear (Boston Univ.)



# Targets requested by this program that have been observed (43)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212402103, 205.0480042, -14.8664322, 14.835, GO17025_LC|GO17052_LC|GO17057_LC|GO17063_LC|GO17052_SC|GO17057_SC
212820594, 202.5096741, -4.8889508, 14.665, GO17008_LC|GO17025_LC|GO17057_LC|GO17063_LC|GO17057_SC
212826600, 203.1017761, -4.6868572, 13.755, GO17008_LC|GO17025_LC|GO17052_LC|GO17057_LC|GO17068_LC|GO17052_SC|GO17057_SC
212870921, 203.7254791, -3.1284089, 18.364, GO17008_LC|GO17025_LC|GO17057_LC
212872055, 203.8744354, -3.0872159, 18.91, GO17025_LC
212872421, 202.484787, -3.073137, 18.305, GO17008_LC|GO17025_LC|GO17057_LC
212873911, 205.8437347, -3.0167389, 17.638, GO17008_LC|GO17025_LC|GO17057_LC
212876200, 202.3441772, -2.9217801, 18.098, GO17008_LC|GO17025_LC|GO17057_LC
212876224, 206.3159027, -2.920579, 17.597, GO17008_LC|GO17025_LC|GO17057_LC
212878661, 205.8347473, -2.8166649, 17.724, GO17008_LC|GO17025_LC|GO17057_LC
212878986, 205.6399689, -2.8028929, 18.165, GO17008_LC|GO17025_LC|GO17057_LC
212880174, 205.966095, -2.7469361, 17.732, GO17008_LC|GO17025_LC|GO17057_LC
212883317, 202.6269531, -2.5838771, 18.584, GO17008_LC|GO17025_LC|GO17057_LC
212884029, 202.8570099, -2.5347519, 17.557, GO17008_LC|GO17025_LC|GO17057_LC
229227143, 208.28127, -8.953349, 18.9, GO17008_LC|GO17025_LC|GO17057_LC
251538288, 200.030916, -2.692982, 19.935, GO17025_LC
251547634, 202.936822, -2.436639, 18.728, GO17008_LC|GO17025_LC|GO17057_LC
251550196, 202.130904, -2.372589, 18.066, GO17008_LC|GO17025_LC|GO17057_LC
251551345, 205.911342, -2.345733, 17.815, GO17008_LC|GO17025_LC|GO17057_LC
251552213, 201.234595, -2.32649, 17.709, GO17008_LC|GO17025_LC|GO17057_LC
251554277, 199.399057, -2.281989, 18.718, GO17008_LC|GO17025_LC|GO17057_LC
251555071, 203.439181, -2.266645, 16.828, GO17008_LC|GO17025_LC|GO17057_LC|GO17057_SC
251556342, 206.557224, -2.241269, 17.868, GO17025_LC
251556648, 202.947384, -2.234996, 18.597, GO17008_LC|GO17025_LC|GO17057_LC
251557288, 207.364875, -2.221752, 17.724, GO17008_LC|GO17025_LC|GO17057_LC
251558388, 203.216212, -2.199588, 18.412, GO17008_LC|GO17025_LC|GO17057_LC
251569164, 205.777799, -1.976528, 18.249, GO17025_LC
251572977, 206.620432, -1.89961, 18.481, GO17025_LC
251577689, 205.373792, -1.806028, 17.83, GO17025_LC
251579704, 205.475608, -1.764766, 17.263, GO17008_LC|GO17025_LC|GO17057_LC
251581842, 206.046233, -1.719727, 17.11, GO17008_LC|GO17025_LC|GO17057_LC
251583509, 202.572718, -1.684749, 18.629, GO17008_LC|GO17025_LC|GO17057_LC
251588517, 204.30483, -1.576114, 16.937, GO17025_LC
251593967, 199.489197, -1.45715, 18.075, GO17008_LC|GO17025_LC|GO17057_LC
251596433, 207.246766, -1.404019, 18.176, GO17008_LC|GO17025_LC|GO17057_LC
251599629, 203.947938, -1.335249, 16.84, GO17008_LC|GO17025_LC|GO17057_LC
251602069, 202.953943, -1.280572, 16.915, GO17008_LC|GO17025_LC|GO17038_LC|GO17057_LC
251605563, 204.142366, -1.193173, 17.389, GO17008_LC|GO17025_LC|GO17057_LC
251620605, 199.939333, -0.795109, 18.156, GO17025_LC
251623278, 199.921337, -0.727894, 17.011, GO17025_LC
251809724, , , , GO17025_LC
251809725, , , , GO17025_LC
251809726, , , , GO17025_LC
